title,conf,year,repo_name,repo_owner,created_at,stars_count,forks_count,subscribers_count,network_count,language,license,organization
Which Training Methods for GANs do actually Converge?,ICML,2018,GAN_stability,LMescheder,2018-07-02 09:38:25,500,49,20,49,Jupyter Notebook,MIT License,
Cascaded Pyramid Network for Multi-Person Pose Estimation,CVPR,2018,tf-cpn,chenyilun95,2018-03-20 14:56:11,484,137,26,137,Python,MIT License,
Pelee: A Real-Time Object Detection System on Mobile Devices,NIPS,2018,Pelee,Robert-JunWang,2018-01-17 16:31:34,538,151,40,151,Jupyter Notebook,Apache License 2.0,
Generative Image Inpainting With Contextual Attention,CVPR,2018,generative_inpainting,JiahuiYu,2018-01-24 06:17:13,585,159,35,159,Python,Other,
Neural 3D Mesh Renderer,CVPR,2018,neural_renderer,hiroharu-kato,2017-11-22 05:35:00,484,87,35,87,Python,MIT License,
Look at Boundary: A Boundary-Aware Face Alignment Algorithm,CVPR,2018,LAB,wywu,2018-05-10 12:36:33,567,156,63,156,C++,Other,
Zero-Shot Recognition via Semantic Embeddings and Knowledge Graphs,CVPR,2018,zero-shot-gcn,JudyYe,2018-06-05 01:59:28,474,105,27,105,Python,,
End-to-End Recovery of Human Shape and Pose,CVPR,2018,hmr,akanazawa,2017-12-18 03:22:44,480,116,49,116,Python,Other,
In-Place Activated BatchNorm for Memory-Optimized Training of DNNs,CVPR,2018,inplace_abn,mapillary,2017-11-23 10:47:45,472,69,34,69,Python,"BSD 3-Clause ""New"" or ""Revised"" License",mapillary
ICNet for Real-Time Semantic Segmentation on High-Resolution Images,ECCV,2018,ICNet,hszhao,2017-04-25 14:38:19,410,148,48,148,Matlab,,
The Unreasonable Effectiveness of Deep Features as a Perceptual Metric,CVPR,2018,PerceptualSimilarity,richzhang,2018-01-11 01:43:21,435,78,24,78,Python,"BSD 2-Clause ""Simplified"" License",
Distractor-aware Siamese Networks for Visual Object Tracking,ECCV,2018,DaSiamRPN,foolwood,2018-08-13 11:14:59,517,139,33,139,Python,MIT License,
Frustum PointNets for 3D Object Detection From RGB-D Data,CVPR,2018,frustum-pointnets,charlesq34,2018-04-05 16:56:45,419,174,35,174,Python,Apache License 2.0,
Efficient Interactive Annotation of Segmentation Datasets With Polygon-RNN++,CVPR,2018,polyrnn-pp-pytorch,fidler-lab,2018-08-14 20:07:46,389,45,26,45,,,fidler-lab
Gibson Env: Real-World Perception for Embodied Agents,CVPR,2018,GibsonEnv,StanfordVL,2017-12-18 20:12:35,375,62,22,62,C,MIT License,StanfordVL
Transparency by Design: Closing the Gap Between Performance and Interpretability in Visual Reasoning,CVPR,2018,tbd-nets,davidmascharka,2018-03-13 18:54:02,316,59,17,59,Jupyter Notebook,MIT License,
Soccer on Your Tabletop,CVPR,2018,soccerontable,krematas,2018-04-29 03:22:53,330,52,42,52,Python,"BSD 2-Clause ""Simplified"" License",
Noise2Noise: Learning Image Restoration without Clean Data,ICML,2018,noise2noise,NVlabs,2018-10-03 14:40:18,185,33,21,33,Python,Other,NVlabs
"GeoNet: Unsupervised Learning of Dense Depth, Optical Flow and Camera Pose",CVPR,2018,GeoNet,yzcjtr,2018-03-12 02:27:49,352,94,24,94,Python,MIT License,
Neural Baby Talk,CVPR,2018,NeuralBabyTalk,jiasenlu,2017-12-16 03:21:09,326,58,12,58,Python,MIT License,
Acquisition of Localization Confidence for Accurate Object Detection,ECCV,2018,PreciseRoIPooling,vacancy,2018-07-13 19:44:43,375,79,22,79,Cuda,MIT License,
The Lovász-Softmax Loss: A Tractable Surrogate for the Optimization of the Intersection-Over-Union Measure in Neural Networks,CVPR,2018,LovaszSoftmax,bermanmaxim,2018-02-21 09:11:59,395,70,22,70,Jupyter Notebook,MIT License,
"PWC-Net: CNNs for Optical Flow Using Pyramid, Warping, and Cost Volume",CVPR,2018,PWC-Net,NVlabs,2018-06-13 16:17:35,384,87,37,87,Cuda,Other,NVlabs
Fast End-to-End Trainable Guided Filter,CVPR,2018,DeepGuidedFilter,wuhuikai,2018-02-26 08:14:20,306,60,22,60,Python,,
Adversarially Regularized Autoencoders,ICML,2018,ARAE,jakezhaojb,2017-06-08 05:17:24,280,70,18,70,Python,"BSD 3-Clause ""New"" or ""Revised"" License",
License Plate Detection and Recognition in Unconstrained Scenarios,ECCV,2018,alpr-unconstrained,sergiomsilva,2018-08-16 18:50:59,319,106,22,106,C,Other,
Supervision-by-Registration: An Unsupervised Approach to Improve the Precision of Facial Landmark Detectors,CVPR,2018,supervision-by-registration,facebookresearch,2018-05-25 22:33:23,300,69,30,69,Python,Other,facebookresearch
Pyramid Stereo Matching Network,CVPR,2018,PSMNet,JiaRenChang,2018-03-19 08:06:18,327,110,14,110,Python,MIT License,
Convolutional Neural Networks With Alternately Updated Clique,CVPR,2018,CliqueNet,iboing,2018-02-28 05:02:46,264,63,13,63,Python,MIT License,
Deep Photo Enhancer: Unpaired Learning for Image Enhancement From Photographs With GANs,CVPR,2018,Deep-Photo-Enhancer,nothinglo,2018-04-12 19:14:01,288,36,34,36,,,
Neural Relational Inference for Interacting Systems,ICML,2018,NRI,ethanfetaya,2018-02-12 16:59:19,284,47,16,47,Python,MIT License,
Learning to Adapt Structured Output Space for Semantic Segmentation,CVPR,2018,AdaptSegNet,wasidennis,2018-02-21 19:44:10,275,70,12,70,Python,,
Learning to Segment Every Thing,CVPR,2018,seg_every_thing,ronghanghu,2018-04-27 22:49:11,260,51,15,51,Python,Apache License 2.0,
LiteFlowNet: A Lightweight Convolutional Neural Network for Optical Flow Estimation,CVPR,2018,LiteFlowNet,twhui,2018-02-22 04:36:17,257,45,20,45,C++,Other,
End-to-End Learning of Motion Representation for Video Understanding,CVPR,2018,tvnet,LijieFan,2018-04-02 15:32:45,234,69,12,69,Python,,
Pixel2Mesh: Generating 3D Mesh Models from Single RGB Images,ECCV,2018,Pixel2Mesh,nywang16,2018-07-27 04:08:52,310,49,21,49,Python,,
Bilinear Attention Networks,NIPS,2018,ban-vqa,jnhwkim,2018-06-12 13:10:02,251,46,14,46,Python,MIT License,
Iterative Visual Reasoning Beyond Convolutions,CVPR,2018,iter-reason,endernewton,2018-03-27 04:18:30,222,32,10,32,Python,MIT License,
Semi-Parametric Image Synthesis,CVPR,2018,SIMS,xjqicuhk,2018-04-22 13:35:55,224,32,23,32,Matlab,,
A Style-Aware Content Loss for Real-time HD Style Transfer,ECCV,2018,adaptive-style-transfer,CompVis,2018-07-26 01:59:16,343,48,29,48,Python,GNU General Public License v3.0,CompVis
Style Aggregated Network for Facial Landmark Detection,CVPR,2018,SAN,D-X-Y,2018-03-11 07:04:12,219,48,16,48,Python,MIT License,
Pose-Robust Face Recognition via Deep Residual Equivariant Mapping,CVPR,2018,DREAM,penincillin,2018-03-03 07:43:43,217,49,32,49,Python,"BSD 2-Clause ""Simplified"" License",
GraphRNN: Generating Realistic Graphs with Deep Auto-regressive Models,ICML,2018,graph-generation,JiaxuanYou,2017-11-09 04:53:31,207,30,16,30,Python,MIT License,
Referring Relationships,CVPR,2018,ReferringRelationships,StanfordVL,2017-07-19 06:25:29,205,66,18,66,Python,Other,StanfordVL
MoCoGAN: Decomposing Motion and Content for Video Generation,CVPR,2018,mocogan,sergeytulyakov,2017-06-29 00:46:24,200,55,19,55,Python,,
Compressed Video Action Recognition,CVPR,2018,pytorch-coviar,chaoyuaw,2018-05-07 19:39:02,217,47,7,47,Python,GNU Lesser General Public License v2.1,
LayoutNet: Reconstructing the 3D Room Layout From a Single RGB Image,CVPR,2018,LayoutNet,zouchuhang,2018-02-22 05:02:42,202,53,20,53,Matlab,MIT License,
ESPNet: Efficient Spatial Pyramid of Dilated Convolutions for Semantic Segmentation,ECCV,2018,ESPNet,sacmehta,2018-02-18 00:09:29,239,42,6,42,Python,MIT License,
Latent Alignment and Variational Attention,NIPS,2018,var-attn,harvardnlp,2018-07-06 20:28:02,197,37,18,37,Python,MIT License,harvardnlp
Multi-Content GAN for Few-Shot Font Style Transfer,CVPR,2018,MC-GAN,azadis,2017-11-29 22:22:27,213,67,13,67,Python,Other,
SPLATNet: Sparse Lattice Networks for Point Cloud Processing,CVPR,2018,splatnet,NVlabs,2018-06-14 19:24:13,185,30,19,30,Python,Other,NVlabs
Attentive Generative Adversarial Network for Raindrop Removal From a Single Image,CVPR,2018,DeRaindrop,rui1996,2018-06-09 12:20:37,182,36,11,36,Python,,
Single View Stereo Matching,CVPR,2018,SVS,lawy623,2018-03-07 06:30:10,179,43,10,43,C++,,
Unsupervised Feature Learning via Non-Parametric Instance Discrimination,CVPR,2018,lemniscate.pytorch,zhirongw,2018-05-04 08:59:24,173,31,10,31,Python,,
An End-to-End TextSpotter With Explicit Alignment and Attention,CVPR,2018,textspotter,tonghe90,2018-03-10 03:59:06,186,68,18,68,Jupyter Notebook,,
Social GAN: Socially Acceptable Trajectories With Generative Adversarial Networks,CVPR,2018,sgan,agrimgupta92,2018-06-29 04:58:03,176,33,15,33,Python,MIT License,
ST-GAN: Spatial Transformer Generative Adversarial Networks for Image Compositing,CVPR,2018,spatial-transformer-GAN,chenhsuanlin,2018-03-03 18:28:00,171,29,9,29,Python,MIT License,
Evolved Policy Gradients,NIPS,2018,EPG,openai,2018-02-23 00:54:49,157,34,14,34,Python,MIT License,openai
Optimizing Video Object Detection via a Scale-Time Lattice,CVPR,2018,scale-time-lattice,hellock,2018-04-15 16:05:26,165,18,52,18,,,
Large-Scale Point Cloud Semantic Segmentation With Superpoint Graphs,CVPR,2018,superpoint_graph,loicland,2017-11-22 17:52:02,187,61,19,61,Python,MIT License,
Learning Category-Specific Mesh Reconstruction from Image Collections,ECCV,2018,cmr,akanazawa,2018-03-20 18:28:22,175,26,9,26,Python,MIT License,
MegaDepth: Learning Single-View Depth Prediction From Internet Photos,CVPR,2018,MegaDepth,lixx2938,2018-04-24 21:55:45,176,48,14,48,Python,MIT License,
Deep Clustering for Unsupervised Learning of Visual Features,ECCV,2018,deepcluster,facebookresearch,2018-08-09 14:06:54,275,45,17,45,Python,Other,facebookresearch
BSN: Boundary Sensitive Network for Temporal Action Proposal Generation,ECCV,2018,BSN-boundary-sensitive-network,wzmsltw,2018-07-02 08:40:09,173,40,13,40,Python,,
Learning a Single Convolutional Super-Resolution Network for Multiple Degradations,CVPR,2018,SRMD,cszn,2017-12-17 06:55:49,164,37,9,37,Matlab,,
Facelet-Bank for Fast Portrait Manipulation,CVPR,2018,Facelet_Bank,yingcong,2018-03-28 03:05:25,148,30,12,30,Python,,
Image Super-Resolution Using Very Deep Residual Channel Attention Networks,ECCV,2018,RCAN,yulunzhang,2018-07-03 16:22:54,203,41,15,41,Python,,
ECO: Efficient Convolutional Network for Online Video Understanding,ECCV,2018,ECO-efficient-video-understanding,mzolfaghari,2018-04-18 09:15:51,171,47,30,47,Jupyter Notebook,MIT License,
PlaneNet: Piece-Wise Planar Reconstruction From a Single RGB Image,CVPR,2018,PlaneNet,art-programmer,2017-12-19 03:17:35,160,34,13,34,Python,MIT License,
Self-Imitation Learning,ICML,2018,self-imitation-learning,junhyukoh,2018-05-25 20:28:46,142,19,12,19,Python,MIT License,
Residual Dense Network for Image Super-Resolution,CVPR,2018,RDN,yulunzhang,2018-03-30 23:56:55,158,35,8,35,Lua,,
Embodied Question Answering,CVPR,2018,EmbodiedQA,facebookresearch,2018-06-13 17:11:06,157,40,16,40,Python,Other,facebookresearch
Unsupervised Cross-Dataset Person Re-Identification by Transfer Learning of Spatial-Temporal Patterns,CVPR,2018,TFusion,ahangchen,2018-03-16 01:20:37,161,61,8,61,Python,,
Two-Stream Convolutional Networks for Dynamic Texture Synthesis,CVPR,2018,two-stream-dyntex-synth,ryersonvisionlab,2018-02-25 19:46:45,140,15,8,15,HTML,GNU General Public License v3.0,ryersonvisionlab
Densely Connected Pyramid Dehazing Network,CVPR,2018,DCPDN,hezhangsprinter,2018-03-08 21:53:34,152,50,4,50,Python,,
Camera Style Adaptation for Person Re-Identification,CVPR,2018,CamStyle,zhunzhong07,2018-03-17 05:14:44,156,44,4,44,Python,,
Neural Motifs: Scene Graph Parsing With Global Context,CVPR,2018,neural-motifs,rowanz,2018-03-08 23:50:52,162,33,15,33,Python,MIT License,
Weakly and Semi Supervised Human Body Part Parsing via Pose-Guided Knowledge Transfer,CVPR,2018,WSHP,MVIG-SJTU,2018-05-10 16:39:13,157,31,15,31,Python,Other,MVIG-SJTU
LSTM Pose Machines,CVPR,2018,LSTM_Pose_Machines,lawy623,2017-12-18 11:50:14,136,21,10,21,Jupyter Notebook,,
SO-Net: Self-Organizing Network for Point Cloud Analysis,CVPR,2018,SO-Net,lijx10,2018-02-28 06:08:26,149,38,14,38,Python,MIT License,
Image-Image Domain Adaptation With Preserved Self-Similarity and Domain-Dissimilarity for Person Re-Identification,CVPR,2018,Learning-via-Translation,Simon4Yan,2017-12-11 10:29:42,135,33,11,33,Matlab,MIT License,
Context Embedding Networks,CVPR,2018,context-embedding-networks,khkim1,2017-11-29 01:01:16,4,0,2,0,,,
Fast and Accurate Online Video Object Segmentation via Tracking Parts,CVPR,2018,FAVOS,JingchunCheng,2018-03-16 02:11:39,129,19,18,19,Python,,
Cross-Domain Weakly-Supervised Object Detection Through Progressive Domain Adaptation,CVPR,2018,cross-domain-detection,naoto0804,2018-03-11 08:28:12,137,26,10,26,Python,,
Learning to Compare: Relation Network for Few-Shot Learning,CVPR,2018,LearningToCompare_ZSL,lzrobots,2018-03-23 13:24:10,133,42,8,42,Python,,
Recurrent Squeeze-and-Excitation Context Aggregation Net for Single Image Deraining,ECCV,2018,RESCAN,XiaLiPKU,2018-07-06 01:56:12,138,42,10,42,Python,MIT License,
Structure Inference Net: Object Detection Using Scene-Level Context and Instance-Level Relationships,CVPR,2018,SIN,choasup,2018-03-14 13:11:31,135,29,6,29,Python,,
MVSNet: Depth Inference for Unstructured Multi-view Stereo,ECCV,2018,MVSNet,YoYo000,2018-07-04 06:20:01,164,43,18,43,Python,,
Weakly Supervised Instance Segmentation Using Class Peak Response,CVPR,2018,PRM,ZhouYanzhao,2018-04-03 12:25:01,150,18,50,18,,,
L4: Practical loss-based stepsize adaptation for deep learning,NIPS,2018,l4-optimizer,martius-lab,2018-02-13 21:53:44,122,18,8,18,Jupyter Notebook,MIT License,
A Closer Look at Spatiotemporal Convolutions for Action Recognition,CVPR,2018,VMZ,facebookresearch,2018-04-25 23:53:21,338,63,25,63,Python,Apache License 2.0,facebookresearch
Unsupervised Learning of Monocular Depth Estimation and Visual Odometry With Deep Feature Reconstruction,CVPR,2018,Depth-VO-Feat,Huangying-Zhan,2018-03-09 00:38:12,154,31,11,31,Python,Other,
Pix3D: Dataset and Methods for Single-Image 3D Shape Modeling,CVPR,2018,pix3d,xingyuansun,2018-04-13 06:17:46,146,26,12,26,Python,,
MultiPoseNet: Fast Multi-Person Pose Estimation using Pose Residual Network,ECCV,2018,pose-residual-network-pytorch,salihkaragoz,2018-07-18 10:49:53,157,26,17,26,Python,,
Gated Path Planning Networks,ICML,2018,gated-path-planning-networks,lileee,2018-06-19 00:16:42,118,18,11,18,Python,,
PackNet: Adding Multiple Tasks to a Single Network by Iterative Pruning,CVPR,2018,packnet,arunmallya,2017-11-16 20:39:54,116,15,5,15,Python,,
Decoupled Networks,CVPR,2018,DCNets,wy1iu,2018-06-02 07:30:11,102,25,9,25,Python,MIT License,
Video Based Reconstruction of 3D People Models,CVPR,2018,videoavatars,thmoa,2018-06-12 08:58:15,171,54,15,54,Python,,
DeepMVS: Learning Multi-View Stereopsis,CVPR,2018,DeepMVS,phuang17,2018-02-07 03:13:56,125,42,16,42,Python,"BSD 2-Clause ""Simplified"" License",
Hierarchical Imitation and Reinforcement Learning,ICML,2018,hierarchical_IL_RL,hoangminhle,2017-09-15 20:23:27,122,32,8,32,Python,,
Real-Time Seamless Single Shot 6D Object Pose Prediction,CVPR,2018,singleshotpose,Microsoft,2018-06-30 18:09:05,170,53,19,53,Python,Other,Microsoft
Adaptive Affinity Fields for Semantic Segmentation,ECCV,2018,Adaptive_Affinity_Fields,twke18,2018-08-21 05:16:39,137,35,9,35,Python,Other,
Long-term Tracking in the Wild: a Benchmark,ECCV,2018,long-term-tracking-benchmark,oxuva,2018-01-27 11:30:17,113,30,12,30,Python,,
Realistic Evaluation of Deep Semi-Supervised Learning Algorithms,NIPS,2018,realistic-ssl-evaluation,brain-research,2018-04-20 22:09:43,158,29,36,29,Python,Apache License 2.0,brain-research
Multi-Task Learning Using Uncertainty to Weigh Losses for Scene Geometry and Semantics,CVPR,2018,multitaskvision,alexgkendall,2018-03-26 21:11:05,129,8,74,8,,"BSD 3-Clause ""New"" or ""Revised"" License",
Deep Back-Projection Networks for Super-Resolution,CVPR,2018,DBPN-Pytorch,alterzero,2018-02-19 05:55:24,129,32,6,32,Python,MIT License,
3D-CODED: 3D Correspondences by Deep Deformation,ECCV,2018,3D-CODED,ThibaultGROUEIX,2018-06-19 02:31:35,123,14,4,14,Python,,
Recovering Realistic Texture in Image Super-Resolution by Deep Spatial Feature Transform,CVPR,2018,SFTGAN,xinntao,2018-04-10 02:07:23,133,33,8,33,Lua,,
Scale-Recurrent Network for Deep Image Deblurring,CVPR,2018,SRN-Deblur,jiangsutx,2018-05-23 08:15:09,153,55,15,55,Python,MIT License,
PU-Net: Point Cloud Upsampling Network,CVPR,2018,PU-Net,yulequan,2018-01-20 17:47:49,114,27,4,27,Python,,
Domain Adaptive Faster R-CNN for Object Detection in the Wild,CVPR,2018,da-faster-rcnn,yuhuayc,2018-05-15 12:31:23,119,29,7,29,Jupyter Notebook,Other,
Rethinking Feature Distribution for Loss Functions in Image Classification,CVPR,2018,L-GM-loss,WeitaoVan,2018-03-08 07:33:42,112,29,8,29,C++,MIT License,
DenseASPP for Semantic Segmentation in Street Scenes,CVPR,2018,DenseASPP,DeepMotionAIResearch,2018-06-16 05:12:42,142,23,9,23,Python,,
Quantized Densely Connected U-Nets for Efficient Landmark Localization,ECCV,2018,CU-Net,zhiqiangdon,2018-07-25 21:07:30,137,18,10,18,Python,Apache License 2.0,
Graph R-CNN for Scene Graph Generation,ECCV,2018,graph-rcnn.pytorch,jwyang,2018-07-11 03:11:10,139,10,22,10,Python,,
"Factoring Shape, Pose, and Layout From the 2D Image of a 3D Scene",CVPR,2018,factored3d,shubhtuls,2017-11-24 02:48:22,112,19,6,19,Python,,
Density-Aware Single Image De-Raining Using a Multi-Stream Dense Network,CVPR,2018,DID-MDN,hezhangsprinter,2018-02-21 00:14:52,113,34,11,34,Python,,
Deep Depth Completion of a Single RGB-D Image,CVPR,2018,DeepCompletionRelease,yindaz,2018-04-07 14:47:32,130,28,3,28,C,,
MAttNet: Modular Attention Network for Referring Expression Comprehension,CVPR,2018,MAttNet,lichengunc,2018-02-09 20:27:05,101,31,4,31,Jupyter Notebook,MIT License,
ELEGANT: Exchanging Latent Encodings with GAN for Transferring Multiple Face Attributes,ECCV,2018,ELEGANT,Prinsphield,2018-03-28 03:24:53,116,18,8,18,Python,MIT License,
Perturbative Neural Networks,CVPR,2018,pnn.pytorch.update,juefeix,2018-09-28 21:10:12,186,20,16,20,Python,MIT License,
Knowledge Aided Consistency for Weakly Supervised Phrase Grounding,CVPR,2018,KAC-Net,kanchen-usc,2017-10-29 01:34:10,86,18,1,18,Python,MIT License,
End-to-End Weakly-Supervised Semantic Alignment,CVPR,2018,weakalign,ignacio-rocco,2017-12-20 07:14:37,105,20,9,20,Python,MIT License,
Learning Blind Video Temporal Consistency,ECCV,2018,fast_blind_video_consistency,phoenix104104,2018-07-20 21:26:13,104,15,5,15,Python,,
PSANet: Point-wise Spatial Attention Network for Scene Parsing,ECCV,2018,PSANet,hszhao,2018-04-19 12:18:49,114,15,11,15,C++,,
Piggyback: Adapting a Single Network to Multiple Tasks by Learning to Mask Weights,ECCV,2018,piggyback,arunmallya,2018-02-21 00:27:00,88,7,1,7,Python,,
Nonlinear 3D Face Morphable Model,CVPR,2018,Nonlinear_Face_3DMM,tranluan,2018-07-03 13:24:03,126,23,10,23,Python,Apache License 2.0,
Deep Mutual Learning,CVPR,2018,Deep-Mutual-Learning,YingZhangDUT,2018-03-26 09:20:46,96,23,3,23,Python,MIT License,
Image Inpainting for Irregular Holes Using Partial Convolutions,ECCV,2018,partialconv,NVIDIA,2018-11-05 03:02:27,199,27,14,27,Python,Other,NVIDIA
BodyNet: Volumetric Inference of 3D Human Body Shapes,ECCV,2018,bodynet,gulvarol,2018-08-09 15:42:06,123,12,12,12,Lua,MIT License,
Integral Human Pose Regression,ECCV,2018,integral-human-pose,JimmySuen,2018-07-20 03:15:18,119,23,17,23,Cuda,MIT License,
FSRNet: End-to-End Learning Face Super-Resolution With Facial Priors,CVPR,2018,FSRNet,tyshiwo,2018-02-27 07:26:46,96,18,17,18,Lua,,
Attention-based Deep Multiple Instance Learning,ICML,2018,AttentionDeepMIL,AMLab-Amsterdam,2018-02-26 13:22:09,107,24,13,24,Python,MIT License,AMLab-Amsterdam
LiDAR-Video Driving Dataset: Learning Driving Policies Effectively,CVPR,2018,DBNet,driving-behavior,2018-04-26 06:16:08,99,19,6,19,Python,Apache License 2.0,driving-behavior
Multi-View Consistency as Supervisory Signal for Learning Shape and Pose Prediction,CVPR,2018,mvcSnP,shubhtuls,2018-01-04 01:08:54,77,15,9,15,Lua,,
Macro-Micro Adversarial Network for Human Parsing,ECCV,2018,MMAN,RoyalVane,2018-07-22 10:33:31,97,14,6,14,Python,Other,
Multi-view to Novel view: Synthesizing novel views with Self-Learned Confidence,ECCV,2018,Multiview2Novelview,shaohua0116,2018-07-25 06:36:46,87,13,4,13,Python,MIT License,
LQ-Nets: Learned Quantization for Highly Accurate and Compact Deep Neural Networks,ECCV,2018,LQ-Nets,Microsoft,2018-07-19 09:14:18,100,28,12,28,Python,MIT License,Microsoft
Neural Kinematic Networks for Unsupervised Motion Retargetting,CVPR,2018,cvpr2018nkn,rubenvillegas,2018-05-28 18:37:22,88,12,12,12,Python,Other,
Learning Spatial-Temporal Regularized Correlation Filters for Visual Tracking,CVPR,2018,STRCF,lifeng9472,2018-03-20 08:42:47,85,17,7,17,Matlab,,
Synthesizing Images of Humans in Unseen Poses,CVPR,2018,posewarp-cvpr2018,balakg,2017-04-15 03:33:20,85,22,18,22,Python,,
A PID Controller Approach for Stochastic Optimization of Deep Networks,CVPR,2018,PIDOptimizer,tensorboy,2018-03-09 21:26:53,86,25,8,25,Python,,
Multi-Scale Location-Aware Kernel Representation for Object Detection,CVPR,2018,MLKP,Hwang64,2018-03-17 14:02:41,80,22,3,22,Python,,
Recurrent Relational Networks,NIPS,2018,recurrent-relational-networks,rasmusbergpalm,2017-11-21 20:15:31,117,17,9,17,Python,,
VITON: An Image-Based Virtual Try-On Network,CVPR,2018,VITON,xthan,2017-12-12 00:01:05,92,38,16,38,Python,,
VITAL: VIsual Tracking via Adversarial Learning,CVPR,2018,Vital_release,ybsong00,2018-03-22 13:29:09,81,23,7,23,Matlab,"BSD 2-Clause ""Simplified"" License",
Future Frame Prediction for Anomaly Detection – A New Baseline,CVPR,2018,ano_pred_cvpr2018,StevenLiuWen,2018-03-13 06:30:09,87,28,5,28,Python,,
Recurrent Pixel Embedding for Instance Grouping,CVPR,2018,Recurrent-Pixel-Embedding-for-Instance-Grouping,aimerykong,2017-10-31 21:44:36,83,13,7,13,Matlab,,
Learning Human-Object Interactions by Graph Parsing Neural Networks,ECCV,2018,gpnn,SiyuanQi,2018-08-18 00:16:49,90,18,5,18,Python,,
Repeatability Is Not Enough: Learning Affine Regions via Discriminability,ECCV,2018,affnet,ducha-aiki,2017-11-17 19:07:21,81,11,8,11,Python,MIT License,
Visual Feature Attribution Using Wasserstein GANs,CVPR,2018,vagan-code,baumgach,2018-03-21 16:49:16,26,2,4,2,Python,GNU General Public License v3.0,
Avatar-Net: Multi-Scale Zero-Shot Style Transfer by Feature Decoration,CVPR,2018,avatar-net,LucasSheng,2018-04-22 16:59:58,70,25,3,25,Python,,
Learning SO(3) Equivariant Representations with Spherical CNNs,ECCV,2018,spherical-cnn,daniilidis-group,2017-11-17 20:10:00,87,17,14,17,Python,MIT License,daniilidis-group
Factorizable Net: An Efficient Subgraph-based Framework for Scene Graph Generation,ECCV,2018,FactorizableNet,yikang-li,2018-07-23 23:10:04,77,8,5,8,Python,,
SGPN: Similarity Group Proposal Network for 3D Point Cloud Instance Segmentation,CVPR,2018,SGPN,laughtervv,2018-04-26 04:21:40,83,23,3,23,Python,MIT License,
ScanComplete: Large-Scale Scene Completion and Semantic Segmentation for 3D Scans,CVPR,2018,ScanComplete,angeladai,2017-12-24 02:37:21,97,28,10,28,Python,Apache License 2.0,
